condition,block,n,mean_ms,mean_sd,p99_ms,p99_sd,max_ms,max_sd
G_0a_3g_alone,alone_3g,10,43.20,1.80,56.14,6.40,58.91,6.16
G_0b_4g_alone,alone_4g,5,44.27,0.47,56.00,5.48,59.83,6.70
G_0c_2g_alone,alone_2g,5,55.89,1.52,61.14,4.94,62.33,6.45
G_1a_3g_coloc,coloc_3g,10,245.15,139.59,265.32,144.42,265.89,144.35
G_1b_4g_coloc,coloc_4g,5,355.20,0.23,356.56,0.92,357.08,1.03
G_1c_2g_coloc,coloc_2g,5,363.65,0.26,369.60,0.82,371.23,1.41
G_2_3gColoc_chanpred,coloc_3g_ext,5,354.67,0.73,361.13,0.62,377.29,32.04
G_2_3gColoc_forecaster,coloc_3g_ext,5,349.84,0.52,356.85,0.64,374.29,34.84
G_2_3gColoc_qwen_small,coloc_3g_ext,5,351.25,0.92,359.28,1.19,377.58,36.84
G_2_3gColoc_resnet,coloc_3g_ext,5,353.34,1.45,360.85,0.69,373.30,25.22
G_2_3gColoc_sat_compute,coloc_3g_ext,5,351.56,0.49,359.55,0.83,374.16,28.15
G_2_3gColoc_sat_hbm,coloc_3g_ext,5,349.55,0.59,356.60,0.51,357.10,1.12
G_2_3gColoc_xapp,coloc_3g_ext,5,350.16,0.51,357.92,1.14,371.84,26.87
G_3_3gColoc_het_chanpred_resnet,coloc_3g_het,5,350.02,0.59,371.20,29.03,377.31,40.60
G_4_3gColoc_homo_2chanpred,coloc_3g_homo,5,356.10,0.67,370.83,20.85,374.84,26.93
G_5_4gColoc_chanpred,coloc_4g_ext,5,355.05,0.56,357.09,1.13,371.67,29.08
G_6_2gColoc_chanpred_3g,coloc_2g_ext,5,364.10,0.39,369.60,0.88,385.41,32.26
